Datas;Natural Gas;LPG;C5+;Ethane;Propane;Butane
jan/02;127;175.1964459;185;141;152;179
fev/02;127;187.812953;197;146;163;191
mar/02;128;216.7543178;239;191;198;216
abr/02;137;238.9021789;262;207;217;239
mai/02;137;230.8622797;255;203;212;229
jun/02;137;216.7397116;240;173;196;217
jul/02;141;225.6446221;246;170;193;231
ago/02;141;247.5214571;260;186;215;252
set/02;141;275.4728465;284;214;244;278
out/02;147;187.2076073;287;224;249;148
nov/02;147;185.2584917;272;217;253;144
dez/02;147;204.0453048;299;248;273;161
jan/03;155;351.6620079;349;281;313;354
fev/03;155;384.6249452;404;344;376;371
mar/03;154;354.1580444;359;329;322;354
abr/03;148;282.0862072;301;272;262;279
mai/03;141;289.1539829;273;296;283;279
jun/03;141;299.1576039;291;311;291;290
jul/03;138;206.5965203;293;275;276;163
ago/03;137;300.6782711;314;273;286;294
set/03;137;291.0787549;289;263;271;288
out/03;136;319.0009319;309;285;289;319
nov/03;136;323.5239838;323;282;284;328
dez/03;136;350.4642998;346;329;327;346
jan/04;131;398.1324302;404;354;385;386
fev/04;129;341.8644965;359;295;344;325
mar/04;130;340.6018721;369;304;304;343
abr/04;129;345.6799594;383;311;317;344
mai/04;126;379.9882896;421;347;353;376
jun/04;124;377.7405584;401;351;350;374
jul/04;121;413.0729453;438;371;387;407
ago/04;119;447.1865262;470;423;438;431
set/04;116;446.1754529;474;378;416;440
out/04;114;506.9339802;542;460;473;500
nov/04;116;495.1548951;515;483;451;494
dez/04;116;437.7768905;448;403;406;433
jan/05;119;433.7066307;469;369;384;438
fev/05;118;446.7061447;487;375;395;451
mar/05;133;488.5253052;546;419;458;481
abr/05;143;487.2334684;539;416;444;486
mai/05;148;441.9185584;490;365;415;435
jun/05;160;462.8297616;497;385;428;459
jul/05;159;498.3244395;518;404;438;505
ago/05;156;529.4015547;596;501;488;525
set/05;155;632.5618675;671;626;588;625
out/05;158;641.5657755;630;612;592;636
nov/05;156;571.0649158;569;519;520;570
dez/05;156;412.13328;587;57;550;325
jan/06;155;598.0782629;633;47;516;611
fev/06;152;550.3809201;579;391;478;560
mar/06;145;532.5808366;595;409;482;533
